Drug,Metric,Val_Shuffled,Val_Unshuffled,Val_Diff,Val_Significant,Val_P_Value_T,Val_P_Value_MW,Test_Shuffled,Test_Unshuffled,Test_Diff,Test_Significant,Test_P_Value_T,Test_P_Value_MW,N_Shuffled,N_Unshuffled
D127,Pearson Correlation,0.6994,0.7153,-0.0159,No,0.1623,0.0912,0.6797,0.6817,-0.0019,No,0.8314,0.6616,50,50
D127,Spearman Correlation,0.5867,0.5879,-0.0012,No,0.9254,0.6867,0.5638,0.5623,0.0015,No,0.8957,0.7669,50,50
D127,R² Score,0.4859,0.5077,-0.0218,No,0.1680,0.0987,0.4474,0.4508,-0.0033,No,0.8020,0.6995,50,50
D151,Pearson Correlation,0.703,0.7045,-0.0015,No,0.8651,0.8388,0.6737,0.6727,0.001,No,0.9034,0.8632,50,50
D151,Spearman Correlation,0.6667,0.6698,-0.0031,No,0.7668,0.7564,0.6372,0.6326,0.0046,No,0.6633,0.5602,50,50
D151,R² Score,0.4876,0.491,-0.0034,No,0.7824,0.7459,0.4411,0.4387,0.0024,No,0.8189,0.8958,50,50
D188,Pearson Correlation,0.599,0.5979,0.001,No,0.9215,0.9094,0.5868,0.5794,0.0074,No,0.5016,0.5282,50,50
D188,Spearman Correlation,0.5576,0.5476,0.01,No,0.4091,0.4219,0.5399,0.5315,0.0084,No,0.4608,0.4884,50,50
D188,R² Score,0.3527,0.3548,-0.0021,No,0.8594,0.9533,0.332,0.3146,0.0174,No,0.1989,0.2344,50,50
D201,Pearson Correlation,0.0296,0.0397,-0.0101,No,0.6980,0.5059,0.0101,0.0286,-0.0185,No,0.3991,0.6716,50,50
D201,Spearman Correlation,0.0184,0.0273,-0.009,No,0.7370,0.7277,0.0143,0.0238,-0.0096,No,0.6752,0.8931,50,50
D201,R² Score,-0.0873,-0.0753,-0.0119,No,0.4783,0.1251,-0.0986,-0.1028,0.0042,No,0.8208,0.9560,50,50
D244,Pearson Correlation,0.5454,0.5547,-0.0093,No,0.4790,0.6666,0.5173,0.5159,0.0014,No,0.9179,0.8442,50,50
D244,Spearman Correlation,0.5317,0.5399,-0.0082,No,0.5292,0.4023,0.5254,0.5211,0.0043,No,0.7071,0.5742,50,50
D244,R² Score,0.2942,0.3035,-0.0093,No,0.5104,0.7748,0.2429,0.2411,0.0018,No,0.9224,0.7329,50,50
D273,Pearson Correlation,0.579,0.5919,-0.0129,No,0.2452,0.4003,0.5516,0.5521,-0.0006,No,0.9639,0.9945,50,50
D273,Spearman Correlation,0.5253,0.5289,-0.0036,No,0.8003,0.8686,0.5153,0.5097,0.0057,No,0.7078,0.8713,50,50
D273,R² Score,0.3303,0.3451,-0.0148,No,0.2418,0.2685,0.2847,0.2885,-0.0038,No,0.8187,0.8958,50,50
D298,Pearson Correlation,0.5414,0.5537,-0.0123,No,0.7402,0.6867,0.5339,0.4921,0.0418,No,0.1396,0.1176,50,50
D298,Spearman Correlation,0.0851,0.1031,-0.018,No,0.3533,0.1506,0.0851,0.1168,-0.0317,No,0.0617,0.0725,50,50
D298,R² Score,0.3102,0.311,-0.0008,No,0.9828,0.8740,0.1135,-0.1123,0.2258,No,0.0887,0.0688,50,50
D380,Pearson Correlation,0.5291,0.5473,-0.0182,No,0.2017,0.2121,0.4742,0.4733,0.0009,No,0.9459,0.9862,50,50
D380,Spearman Correlation,0.5058,0.5045,0.0014,No,0.9250,0.9972,0.4687,0.4582,0.0105,No,0.3705,0.4971,50,50
D380,R² Score,0.2761,0.2968,-0.0207,No,0.1809,0.2641,0.1996,0.2035,-0.0039,No,0.8028,0.6666,50,50
D5,Pearson Correlation,0.627,0.5849,0.0421,Yes,0.0003,0.0005,0.5795,0.566,0.0135,No,0.2057,0.1420,50,50
D5,Spearman Correlation,0.5865,0.5469,0.0396,Yes,0.0009,0.0022,0.5417,0.533,0.0088,No,0.4020,0.2482,50,50
D5,R² Score,0.3877,0.3381,0.0496,Yes,0.0003,0.0006,0.3152,0.3029,0.0123,No,0.3866,0.2496,50,50
D57,Pearson Correlation,0.278,0.2853,-0.0074,No,0.6731,0.7695,0.2417,0.2598,-0.0181,No,0.1663,0.2371,50,50
D57,Spearman Correlation,0.2455,0.2643,-0.0188,No,0.2207,0.2510,0.2419,0.2543,-0.0124,No,0.3532,0.4339,50,50
D57,R² Score,0.0688,0.0709,-0.0021,No,0.8362,0.8713,0.0248,0.0391,-0.0143,No,0.2141,0.2263,50,50
D80,Pearson Correlation,0.4915,0.4944,-0.0029,No,0.8819,0.8659,0.4909,0.4935,-0.0025,No,0.8679,0.9917,50,50
D80,Spearman Correlation,0.3717,0.3672,0.0045,No,0.8003,0.6148,0.3765,0.369,0.0075,No,0.5900,0.4734,50,50
D80,R² Score,0.2376,0.2433,-0.0057,No,0.7650,0.7251,0.2116,0.2066,0.005,No,0.7525,0.8281,50,50
D99,Pearson Correlation,0.65,0.6587,-0.0087,No,0.3240,0.2371,0.631,0.6214,0.0096,No,0.2314,0.2745,50,50
D99,Spearman Correlation,0.6206,0.6172,0.0035,No,0.7481,0.7695,0.6055,0.5946,0.0108,No,0.2474,0.2398,50,50
D99,R² Score,0.4145,0.426,-0.0114,No,0.3022,0.2525,0.3816,0.3734,0.0082,No,0.4368,0.4670,50,50
