Drug,ERK_SNN,GraNet_DI
DD127,0.4130 ± 0.0832,0.3769 ± 0.1496 (p=0.123)
DD151,0.4124 ± 0.0574,0.3027 ± 0.2157 (p<0.001)
DD188,0.2935 ± 0.0855,0.2330 ± 0.2257 (p=0.064)
DD201,-0.4079 ± 2.4804,-37.9670 ± 103.1621 (p=0.025)
DD244,0.2244 ± 0.0821,0.1704 ± 0.0799 (p<0.001)
DD273,0.2659 ± 0.0722,0.2179 ± 0.0924 (p=0.001)
DD298,0.1641 ± 0.3287,-2.4789 ± 17.6473 (p=0.293)
DD380,0.2127 ± 0.0665,0.1708 ± 0.0936 (p=0.002)
DD5,0.3198 ± 0.0695,0.3051 ± 0.0890 (p=0.092)
DD57,-0.1041 ± 0.4595,-0.0448 ± 0.3489 (p=0.467)
DD80,0.1634 ± 0.0812,-0.0259 ± 0.9537 (p=0.166)
DD99,0.3509 ± 0.0585,0.2925 ± 0.1905 (p=0.032)
